id,asset_type_id,name,manufacturer,model,Cell Type,Power Wattage,Power output tolerance ():,Connector type:,Warranty Type,Phase 1 Years,Phase 1 Percent,Phase 2 Years,Phase 2 Percent,Length (in.),Width (in.),Depth (in.),Weight (lbs.)
,5,Astronergy VIOLIN CHSM6612P Baseline 310W,Astronergy,VIOLIN CHSM6612P Baseline 310W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6612P Baseline 310W HV,Astronergy,VIOLIN CHSM6612P Baseline 310W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6612P Baseline 315W,Astronergy,VIOLIN CHSM6612P Baseline 315W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6612P Baseline 315W HV,Astronergy,VIOLIN CHSM6612P Baseline 315W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6612P Baseline 320W,Astronergy,VIOLIN CHSM6612P Baseline 320W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6612P Baseline 320W HV,Astronergy,VIOLIN CHSM6612P Baseline 320W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6612P Baseline 325W,Astronergy,VIOLIN CHSM6612P Baseline 325W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6612P Baseline 325W HV,Astronergy,VIOLIN CHSM6612P Baseline 325W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 260W,Astronergy,VIOLIN II CHSM6610P 260W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 260W HV,Astronergy,VIOLIN II CHSM6610P 260W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 265W,Astronergy,VIOLIN II CHSM6610P 265W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 265W HV,Astronergy,VIOLIN II CHSM6610P 265W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 270W,Astronergy,VIOLIN II CHSM6610P 270W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6610P 270W HV,Astronergy,VIOLIN II CHSM6610P 270W HV,,,,,Linear,25,80.7,,,,,,
